proc_code,proc,comm_code,item_code_fcl,item
p001,Wheat production,c001,15,Wheat
p002,Rice production,c002,27,Rice
p003,Barley production,c003,44,Barley
p004,Maize (corn) production,c004,56,Maize (corn)
p005,Rye production,c005,71,Rye
p006,Oats production,c006,75,Oats
p007,Millet production,c007,79,Millet
p008,Sorghum production,c008,83,Sorghum
p009,Buckwheat production,c009,89,Buckwheat
p010,Quinoa production,c010,92,Quinoa
p011,Fonio production,c011,94,Fonio
p012,Triticale production,c012,97,Triticale
p013,Canary seed production,c013,101,Canary seed
p014,Mixed grain production,c014,103,Mixed grain
p015,Cereals n.e.c. production,c015,108,Cereals n.e.c.
p016,Potatoes production,c016,116,Potatoes
p017,Sweet potatoes production,c017,122,Sweet potatoes
p018,Cassava (fresh) production,c018,125,"Cassava, fresh"
p019,Yautia production,c019,135,Yautia
p020,Taro production,c020,136,Taro
p021,Yams production,c021,137,Yams
p022,"Edible roots and tubers with high starch or inulin content (fresh) production, n.e.c.",c022,149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh"
p018,Cassava (fresh) production,c023,378,Cassava leaves
p023,Chicory roots production,c024,459,Chicory roots
p024,Locust beans (carobs) production,c025,461,Locust beans (carobs)
p025,Sugar cane production,c026,156,Sugar cane
p026,Sugar beet production,c027,157,Sugar beet
p027,"Sugar crops production, other",c028,161,Other sugar crops n.e.c.
p028,Cabbages production,c029,358,Cabbages
p029,Artichokes production,c030,366,Artichokes
p030,Asparagus production,c031,367,Asparagus
p031,Lettuce and chicory production,c032,372,Lettuce and chicory
p032,Spinach production,c033,373,Spinach
p033,Tomatoes production,c034,388,Tomatoes
p034,Cauliflowers and broccoli production,c035,393,Cauliflowers and broccoli
p035,"Pumpkins, squash and gourds production",c036,394,"Pumpkins, squash and gourds"
p036,Cucumbers and gherkins production,c037,397,Cucumbers and gherkins
p037,Eggplants (aubergines) production,c038,399,Eggplants (aubergines)
p038,Green chillies and peppers (Capsicum spp. and Pimenta spp.) production,c039,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
p039,Green onions and shallots production,c040,402,"Onions and shallots, green"
p040,Dry onions and shallots (excluding dehydrated) production,c041,403,"Onions and shallots, dry (excluding dehydrated)"
p041,Green garlic production,c042,406,Green garlic
p042,Leeks and other alliaceous vegetables production,c043,407,Leeks and other alliaceous vegetables
p043,"Green beans production, other",c044,414,"Other beans, green"
p044,Green peas production,c045,417,"Peas, green"
p045,Green broad beans and horse beans production,c046,420,"Broad beans and horse beans, green"
p046,String beans production,c047,423,String beans
p047,Carrots and turnips production,c048,426,Carrots and turnips
p048,Okra production,c049,430,Okra
p049,Green corn (maize) production,c050,446,Green corn (maize)
p050,Mushrooms and truffles production,c051,449,Mushrooms and truffles
p051,"Vegetables production (fresh), other",c052,463,"Other vegetables, fresh n.e.c."
p052,Watermelons production,c053,567,Watermelons
p053,Cantaloupes and other melons production,c054,568,Cantaloupes and other melons
p054,Bananas production,c055,486,Bananas
p055,Plantains and cooking bananas production,c056,489,Plantains and cooking bananas
p056,Oranges production,c057,490,Oranges
p057,"Tangerines, mandarins, clementines production",c058,495,"Tangerines, mandarins, clementines"
p058,Lemons and limes production,c059,497,Lemons and limes
p059,Pomelos and grapefruits production,c060,507,Pomelos and grapefruits
p060,"Citrus fruit production, n.e.c.",c061,512,"Other citrus fruit, n.e.c."
p061,Apples production,c062,515,Apples
p062,Pears production,c063,521,Pears
p063,Quinces production,c064,523,Quinces
p064,Apricots production,c065,526,Apricots
p065,Sour cherries production,c066,530,Sour cherries
p066,Cherries production,c067,531,Cherries
p067,Peaches and nectarines production,c068,534,Peaches and nectarines
p068,Plums and sloes production,c069,536,Plums and sloes
p069,Other stone fruits production,c070,541,Other stone fruits
p070,Other pome fruits production,c071,542,Other pome fruits
p071,Strawberries production,c072,544,Strawberries
p072,Raspberries production,c073,547,Raspberries
p073,Gooseberries production,c074,549,Gooseberries
p074,Currants production,c075,550,Currants
p075,Blueberries production,c076,552,Blueberries
p076,Cranberries production,c077,554,Cranberries
p077,"Berries and fruits of the genus vaccinium production, n.e.c.",c078,558,Other berries and fruits of the genus vaccinium n.e.c.
p078,Grapes production,c079,560,Grapes
p079,Figs production,c080,569,Figs
p080,"Mangoes, guavas and mangosteens production",c081,571,"Mangoes, guavas and mangosteens"
p081,Avocados production,c082,572,Avocados
p082,Pineapples production,c083,574,Pineapples
p083,Dates production,c084,577,Dates
p084,Persimmons production,c085,587,Persimmons
p085,Cashewapple production,c086,591,Cashewapple
p086,Kiwi fruit production,c087,592,Kiwi fruit
p087,Papayas production,c088,600,Papayas
p088,"Other tropical fruits production, n.e.c.",c089,603,"Other tropical fruits, n.e.c."
p089,"Other fruits production, n.e.c.",c090,619,"Other fruits, n.e.c."
p090,Brazil nuts (in shell) production,c091,216,"Brazil nuts, in shell"
p091,Cashew nuts (in shell) production,c092,217,"Cashew nuts, in shell"
p092,Chestnuts (in shell) production,c093,220,"Chestnuts, in shell"
p093,Almonds (in shell) production,c094,221,"Almonds, in shell"
p094,Walnuts (in shell) production,c095,222,"Walnuts, in shell"
p095,Pistachios (in shell) production,c096,223,"Pistachios, in shell"
p096,Hazelnuts (in shell) production,c097,225,"Hazelnuts, in shell"
p097,Areca nuts production,c098,226,Areca nuts
p098,"Other nuts in shell (excluding wild edible nuts and groundnuts) production, n.e.c.",c099,234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c."
p099,Karite nuts (sheanuts) production,c100,263,Karite nuts (sheanuts)
p100,Pepper (raw) (Piper spp.) production,c101,687,"Pepper (Piper spp.), raw"
p101,"Chillies and peppers (raw, dry) (Capsicum spp., Pimenta spp.) production",c102,689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw"
p102,Vanilla (raw) production,c103,692,"Vanilla, raw"
p103,Cinnamon and cinnamon-tree flowers (raw) production,c104,693,"Cinnamon and cinnamon-tree flowers, raw"
p104,Cloves (raw) (whole stems) production,c105,698,"Cloves (whole stems), raw"
p105,"Nutmeg, mace, cardamoms (raw) production",c106,702,"Nutmeg, mace, cardamoms, raw"
p106,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries (raw) production",c107,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
p107,Ginger (raw) production,c108,720,"Ginger, raw"
